compound_id,name,original_smiles,canonical_smiles,isomeric_smiles,molecular_formula,molecular_weight,logp,hba,hbd,rotatable_bonds,aromatic_rings,heavy_atoms,formal_charge,qed,tpsa,stereochemistry,activity_um,potentiation_pct,pic50,activity_class,parent_compound,matched_pairs,compound_class,af3_model_ids,boltz2_model_ids,candidate_pocket,receptor_stoichiometry,receptor_state,interaction_fingerprint,confidence,final_interpretation
1,L-ascorbate (parent),C1([C@@H]([C@H](O)CO)OC(=O)C=1O)O,O=C1OC(C(O)CO)C(O)=C1O,O=C1O[C@H]([C@H](O)CO)C(O)=C1O,C6H8O6,176.12,-1.41,6,4,2,0,12,0,0.385,107.22,L,1797.0,286.0,2.745,weak,self,,active,,,,,,,,
2,L-ascorbate analog (open ring),C(O)C(C1OC(=O)C(O)=C1O)O,O=C1OC(C(O)CO)C(O)=C1O,O=C1OC(C(O)CO)C(O)=C1O,C6H8O6,176.12,-1.41,6,4,2,0,12,0,0.385,107.22,L,1316.0,300.0,2.881,weak,1,1,active,,,,,,,,
3,Methyl ether analog,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2O)CO1)C,CC1(C)OCC(C2OC(=O)C(O)=C2O)O1,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2O)O1,C9H12O6,216.19,0.39,6,2,1,0,15,0,0.617,85.22,L,6077.0,293.0,2.216,weak,1,1,weak,,,,,,,,
4,Nonanyl chain analog,CCCCCCCCC1O[C@H](C2OC(=O)C(O)=C2O)CO1,CCCCCCCCC1OCC(C2OC(=O)C(O)=C2O)O1,CCCCCCCCC1OC[C@@H](C2OC(=O)C(O)=C2O)O1,C15H24O6,300.35,2.73,6,2,8,0,21,0,0.529,85.22,L,0.0,0.0,0.0,inactive,1,1,inactive,,,,,,,,
5,Methyl ester analog,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OC)CO1)C,COC1=C(O)C(=O)OC1C1COC(C)(C)O1,COC1=C(O)C(=O)O[C@@H]1[C@@H]1COC(C)(C)O1,C10H14O6,230.22,0.48,6,1,2,0,16,0,0.695,74.22,L,0.0,0.0,0.0,inactive,1,1,inactive,,,,,,,,
6,Benzyl ether analog,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OCC2C=CC=CC=2)CO1)C,CC1(C)OCC(C2OC(=O)C(O)=C2OCc2ccccc2)O1,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCc2ccccc2)O1,C16H18O6,306.31,2.05,6,1,4,1,22,0,0.858,74.22,L,0.0,0.0,0.0,inactive,1,1,inactive,,,,,,,,
7,Allyl acetonide analog,C=CCOC1C([C@@H]2OC(C)(C)OC2)OC(=O)C=1O,C=CCOC1=C(O)C(=O)OC1C1COC(C)(C)O1,C=CCOC1=C(O)C(=O)OC1[C@H]1COC(C)(C)O1,C12H16O6,256.25,1.04,6,1,4,0,18,0,0.598,74.22,L,0.0,0.0,0.0,inactive,1,1,inactive,,,,,,,,
8,Propyl acetonide analog,CCCOC1C(C2OC(C)(C)OC2)OC(=O)C=1O,CCCOC1=C(O)C(=O)OC1C1COC(C)(C)O1,CCCOC1=C(O)C(=O)OC1C1COC(C)(C)O1,C12H18O6,258.27,1.26,6,1,4,0,18,0,0.765,74.22,L,0.0,0.0,0.0,inactive,1,1,inactive,,,,,,,,
9,Butyl acetonide analog,CCCCOC1[C@@H]([C@@H]2OC(C)(C)OC2)OC(=O)C=1O,CCCCOC1=C(O)C(=O)OC1C1COC(C)(C)O1,CCCCOC1=C(O)C(=O)O[C@@H]1[C@H]1COC(C)(C)O1,C13H20O6,272.3,1.65,6,1,5,0,19,0,0.606,74.22,L,0.0,0.0,0.0,inactive,1,1,inactive,,,,,,,,
10,Cyclopropylmethyl analog,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OCC2CC2)CO1)C,CC1(C)OCC(C2OC(=O)C(O)=C2OCC2CC2)O1,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCC2CC2)O1,C13H18O6,270.28,1.26,6,1,4,0,19,0,0.775,74.22,L,0.0,0.0,0.0,inactive,1,1,inactive,,,,,,,,
11,Cyclohexylpropyl analog,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OCCC2CCCCC2)CO1)C,CC1(C)OCC(C2OC(=O)C(O)=C2OCCC2CCCCC2)O1,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCCC2CCCCC2)O1,C17H26O6,326.39,2.82,6,1,5,0,23,0,0.783,74.22,L,0.0,0.0,0.0,inactive,1,1,inactive,,,,,,,,
12,Alkyne acetonide (HIGHLY POTENT),C(#C)COC1[C@@H]([C@@H]2OC(C)(C)OC2)OC(=O)C=1O,C#CCOC1=C(O)C(=O)OC1C1COC(C)(C)O1,C#CCOC1=C(O)C(=O)O[C@@H]1[C@H]1COC(C)(C)O1,C12H14O6,254.24,0.48,6,1,3,0,18,0,0.583,74.22,L,0.1981,150.0,6.703,potent,1,1;7,potent,,,,,,,,
13,Dimethyl ester analog,CC1(O[C@H]([C@H]2OC(=O)C(OC)=C2OC)CO1)C,COC1=C(OC)C(C2COC(C)(C)O2)OC1=O,COC1=C(OC)[C@@H]([C@@H]2COC(C)(C)O2)OC1=O,C11H16O6,244.24,0.57,6,0,3,0,17,0,0.676,63.22,L,0.0,0.0,0.0,inactive,1,1,inactive,,,,,,,,
14,Dibenzyl analog,CC1(O[C@H]([C@H]2OC(=O)C(OCC3C=CC=CC=3)=C2OCC2C=CC=CC=2)CO1)C,CC1(C)OCC(C2OC(=O)C(OCc3ccccc3)=C2OCc2ccccc2)O1,CC1(C)OC[C@@H]([C@H]2OC(=O)C(OCc3ccccc3)=C2OCc2ccccc2)O1,C23H24O6,396.44,3.71,6,0,7,2,29,0,0.665,63.22,L,0.0,0.0,0.0,inactive,1,1,inactive,,,,,,,,
15,Diallyl acetonide analog,C=CCOC1C(C2OC(C)(C)OC2)OC(=O)C=1OCC=C,C=CCOC1=C(OCC=C)C(C2COC(C)(C)O2)OC1=O,C=CCOC1=C(OCC=C)C(C2COC(C)(C)O2)OC1=O,C15H20O6,296.32,1.68,6,0,7,0,21,0,0.526,63.22,L,0.0,0.0,0.0,inactive,1,1,inactive,,,,,,,,
16,Dipropyl acetonide analog,CCCOC1[C@H]([C@H]2OC(C)(C)OC2)OC(=O)C=1OCCC,CCCOC1=C(OCCC)C(C2COC(C)(C)O2)OC1=O,CCCOC1=C(OCCC)[C@H]([C@@H]2COC(C)(C)O2)OC1=O,C15H24O6,300.35,2.13,6,0,7,0,21,0,0.671,63.22,L,0.0,0.0,0.0,inactive,1,1,inactive,,,,,,,,
17,Dicyanomethyl analog,CC1(O[C@H]([C@H]2OC(=O)C(OCC#N)=C2OCC#N)CO1)C,CC1(C)OCC(C2OC(=O)C(OCC#N)=C2OCC#N)O1,CC1(C)OC[C@@H]([C@H]2OC(=O)C(OCC#N)=C2OCC#N)O1,C13H14N2O6,294.26,0.36,8,0,5,0,21,0,0.668,110.8,L,0.0,0.0,0.0,inactive,1,1,inactive,,,,,,,,
18,Benzyl analog,C1C=CC(COC2[C@@H]([C@H](O)CO)OC(=O)C=2O)=CC=1,O=C1OC(C(O)CO)C(OCc2ccccc2)=C1O,O=C1O[C@H]([C@H](O)CO)C(OCc2ccccc2)=C1O,C13H14O6,266.25,0.25,6,3,5,1,19,0,0.661,96.22,L,1288.0,500.0,2.89,weak,1,1,weak,,,,,,,,
19,Allyl analog,C=CCOC1[C@@H]([C@H](O)CO)OC(=O)C=1O,C=CCOC1=C(O)C(=O)OC1C(O)CO,C=CCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,C9H12O6,216.19,-0.76,6,3,5,0,15,0,0.413,96.22,L,0.0,0.0,0.0,inactive,1,1,inactive,,,,,,,,
20,Butyl analog,CCCCOC1[C@@H]([C@H](O)CO)OC(=O)C=1O,CCCCOC1=C(O)C(=O)OC1C(O)CO,CCCCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,C10H16O6,232.23,-0.15,6,3,6,0,16,0,0.435,96.22,L,0.0,0.0,0.0,inactive,1,1,inactive,,,,,,,,
21,Cyclopropylmethyl analog,C1C(COC2[C@@H]([C@H](O)CO)OC(=O)C=2O)C1,O=C1OC(C(O)CO)C(OCC2CC2)=C1O,O=C1O[C@H]([C@H](O)CO)C(OCC2CC2)=C1O,C10H14O6,230.22,-0.54,6,3,5,0,16,0,0.549,96.22,L,0.0,0.0,0.0,inactive,1,1,inactive,,,,,,,,
22,Dimethyl analog,COC1[C@@H]([C@H](O)CO)OC(=O)C=1OC,COC1=C(OC)C(C(O)CO)OC1=O,COC1=C(OC)[C@@H]([C@H](O)CO)OC1=O,C8H12O6,204.18,-1.23,6,2,4,0,14,0,0.558,85.22,L,0.0,0.0,0.0,inactive,1,1,inactive,,,,,,,,
23,Gluconolactone analog,C(O)[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O,O=C1OC(CO)C(O)C(O)C1O,O=C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,C6H10O6,178.14,-3.01,6,4,1,0,12,0,0.318,107.22,L,0.0,0.0,0.0,inactive,1,1,inactive,,,,,,,,
24,Propyl ester analog,CCCOC1C(=O)O[C@H]([C@H](O)CO)C=1O,CCCOC1=C(O)C(C(O)CO)OC1=O,CCCOC1=C(O)[C@@H]([C@H](O)CO)OC1=O,C9H14O6,218.2,-0.54,6,3,5,0,15,0,0.536,96.22,L,1202.0,190.0,2.92,weak,1,1,weak,,,,,,,,
25,Brominated analog (POTENT),C(Br)[C@H]([C@H]1OC(=O)C(O)=C1O)O,O=C1OC(C(O)CBr)C(O)=C1O,O=C1O[C@H]([C@H](O)CBr)C(O)=C1O,C6H7BrO5,239.02,-0.0,5,3,2,0,12,0,0.466,86.99,L,2.63,180.0,5.58,potent,1,1,potent,,,,,,,,
26,Gluconic acid analog,C(O)[C@H]([C@H]1OC(=O)[C@@H](O)[C@H]1O)O,O=C1OC(C(O)CO)C(O)C1O,O=C1O[C@H]([C@H](O)CO)[C@H](O)[C@@H]1O,C6H10O6,178.14,-3.01,6,4,2,0,12,0,0.335,107.22,L,0.0,0.0,0.0,inactive,1,1,inactive,,,,,,,,
27,Bicyclic analog,CC1(O[C@H]([C@@H]2OC(=O)[C@@H]3OC(O[C@H]23)(C)C)CO1)C,CC1(C)OCC(C2OC(=O)C3OC(C)(C)OC32)O1,CC1(C)OC[C@@H]([C@@H]2OC(=O)[C@@H]3OC(C)(C)O[C@H]23)O1,C12H18O6,258.27,0.58,6,0,1,0,18,0,0.641,63.22,L,0.0,0.0,0.0,inactive,1,1,inactive,,,,,,,,
28,Gulonolactone analog,C(O)[C@H]1OC(=O)[C@H](O)[C@@H]1O,O=C1OC(CO)C(O)C1O,O=C1O[C@H](CO)[C@@H](O)[C@H]1O,C5H8O5,148.11,-2.37,5,3,1,0,10,0,0.362,86.99,L,0.0,0.0,0.0,inactive,1,1,inactive,,,,,,,,
29,Fructonic acid analog,C([C@@H](O)C1OC(=O)[C@@H](O)[C@H]1O)=O,O=CC(O)C1OC(=O)C(O)C1O,O=C[C@@H](O)C1OC(=O)[C@@H](O)[C@H]1O,C6H8O6,176.12,-2.81,6,3,2,0,12,0,0.31,104.06,L,0.0,0.0,0.0,inactive,1,1,inactive,,,,,,,,
30,Chloralose analog,C(O)[C@@H](O)[C@H]1OC2O[C@@H](O[C@@H]2[C@H]1O)C(Cl)(Cl)Cl,OCC(O)C1OC2OC(C(Cl)(Cl)Cl)OC2C1O,OC[C@@H](O)[C@H]1OC2O[C@H](C(Cl)(Cl)Cl)O[C@@H]2[C@H]1O,C8H11Cl3O6,309.53,-0.46,6,3,2,0,17,0,0.598,88.38,L,0.0,0.0,0.0,inactive,1,1,inactive,,,,,,,,
