compound_id,stoichiometry,site_id,binding_energy,n_contacts,h_bonds,salt_bridges,aromatic,hydrophobic,vdw,contact_residues
1,2to3,23,-4.878,0,0,0,0,0,0,
1,2to3,5,-6.522,0,0,0,0,0,0,
1,2to3,21,-6.951,0,0,0,0,0,0,
1,2to3,34,-8.713,0,0,0,0,0,0,
1,2to3,35,-8.672,0,0,0,0,0,0,
1,2to3,18,-6.305,0,0,0,0,0,0,
1,2to3,25,-6.334,0,0,0,0,0,0,
1,2to3,11,-6.922,0,0,0,0,0,0,
2,2to3,23,-5.067,0,0,0,0,0,0,
2,2to3,5,-6.401,0,0,0,0,0,0,
2,2to3,21,-6.695,0,0,0,0,0,0,
2,2to3,34,-8.384,0,0,0,0,0,0,
2,2to3,35,-8.368,0,0,0,0,0,0,
2,2to3,18,-6.595,0,0,0,0,0,0,
2,2to3,25,-6.403,0,0,0,0,0,0,
2,2to3,11,-7.092,0,0,0,0,0,0,
3,2to3,23,-5.955,0,0,0,0,0,0,
3,2to3,5,-7.179,0,0,0,0,0,0,
3,2to3,21,-7.314,0,0,0,0,0,0,
3,2to3,34,-10.036,0,0,0,0,0,0,
3,2to3,35,-10.0,0,0,0,0,0,0,
3,2to3,18,-6.703,0,0,0,0,0,0,
3,2to3,25,-7.048,0,0,0,0,0,0,
3,2to3,11,-7.479,0,0,0,0,0,0,
4,2to3,23,-6.756,0,0,0,0,0,0,
4,2to3,5,-8.643,0,0,0,0,0,0,
4,2to3,21,-7.672,0,0,0,0,0,0,
4,2to3,34,-9.946,0,0,0,0,0,0,
4,2to3,35,-9.964,0,0,0,0,0,0,
4,2to3,18,-7.329,0,0,0,0,0,0,
4,2to3,25,-7.527,0,0,0,0,0,0,
4,2to3,11,-8.916,0,0,0,0,0,0,
5,2to3,23,-5.293,0,0,0,0,0,0,
5,2to3,5,-7.571,0,0,0,0,0,0,
5,2to3,21,-6.939,0,0,0,0,0,0,
5,2to3,34,-9.096,0,0,0,0,0,0,
5,2to3,35,-9.055,0,0,0,0,0,0,
5,2to3,18,-6.621,0,0,0,0,0,0,
5,2to3,25,-7.164,0,0,0,0,0,0,
5,2to3,11,-7.395,0,0,0,0,0,0,
6,2to3,23,-6.303,0,0,0,0,0,0,
6,2to3,5,-8.446,0,0,0,0,0,0,
6,2to3,21,-8.976,0,0,0,0,0,0,
6,2to3,34,-12.276,0,0,0,0,0,0,
6,2to3,35,-11.154,0,0,0,0,0,0,
6,2to3,18,-7.77,0,0,0,0,0,0,
6,2to3,25,-8.267,0,0,0,0,0,0,
6,2to3,11,-9.344,0,0,0,0,0,0,
7,2to3,23,-5.333,0,0,0,0,0,0,
7,2to3,5,-8.541,0,0,0,0,0,0,
7,2to3,21,-7.209,0,0,0,0,0,0,
