compound_id,smiles,is_active,activity_uM,potentiation_pct,stoichiometry,site_id,site_description,binding_energy,has_pose
1,C1([C@@H]([C@H](O)CO)OC(=O)C=1O)O,True,1797,286,2to3,23,ECD alpha9/alpha10,-4.878,True
1,C1([C@@H]([C@H](O)CO)OC(=O)C=1O)O,True,1797,286,2to3,5,ECD alpha9/alpha10,-6.522,True
1,C1([C@@H]([C@H](O)CO)OC(=O)C=1O)O,True,1797,286,2to3,21,ECD alpha9/alpha10,-6.951,True
1,C1([C@@H]([C@H](O)CO)OC(=O)C=1O)O,True,1797,286,2to3,34,TMD M2 pore,-8.713,True
1,C1([C@@H]([C@H](O)CO)OC(=O)C=1O)O,True,1797,286,2to3,35,TMD M2,-8.672,True
1,C1([C@@H]([C@H](O)CO)OC(=O)C=1O)O,True,1797,286,2to3,18,ECD alpha10/alpha10,-6.305,True
1,C1([C@@H]([C@H](O)CO)OC(=O)C=1O)O,True,1797,286,2to3,25,ECD alpha9/alpha10,-6.334,True
1,C1([C@@H]([C@H](O)CO)OC(=O)C=1O)O,True,1797,286,2to3,11,ECD alpha10/alpha9,-6.922,True
2,C(O)C(C1OC(=O)C(O)=C1O)O,True,1316,300,2to3,23,ECD alpha9/alpha10,-5.067,True
2,C(O)C(C1OC(=O)C(O)=C1O)O,True,1316,300,2to3,5,ECD alpha9/alpha10,-6.401,True
2,C(O)C(C1OC(=O)C(O)=C1O)O,True,1316,300,2to3,21,ECD alpha9/alpha10,-6.695,True
2,C(O)C(C1OC(=O)C(O)=C1O)O,True,1316,300,2to3,34,TMD M2 pore,-8.384,True
2,C(O)C(C1OC(=O)C(O)=C1O)O,True,1316,300,2to3,35,TMD M2,-8.368,True
2,C(O)C(C1OC(=O)C(O)=C1O)O,True,1316,300,2to3,18,ECD alpha10/alpha10,-6.595,True
2,C(O)C(C1OC(=O)C(O)=C1O)O,True,1316,300,2to3,25,ECD alpha9/alpha10,-6.403,True
2,C(O)C(C1OC(=O)C(O)=C1O)O,True,1316,300,2to3,11,ECD alpha10/alpha9,-7.092,True
3,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2O)CO1)C,True,6077,293,2to3,23,ECD alpha9/alpha10,-5.955,True
3,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2O)CO1)C,True,6077,293,2to3,5,ECD alpha9/alpha10,-7.179,True
3,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2O)CO1)C,True,6077,293,2to3,21,ECD alpha9/alpha10,-7.314,True
3,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2O)CO1)C,True,6077,293,2to3,34,TMD M2 pore,-10.036,True
3,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2O)CO1)C,True,6077,293,2to3,35,TMD M2,-10.0,True
3,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2O)CO1)C,True,6077,293,2to3,18,ECD alpha10/alpha10,-6.703,True
3,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2O)CO1)C,True,6077,293,2to3,25,ECD alpha9/alpha10,-7.048,True
3,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2O)CO1)C,True,6077,293,2to3,11,ECD alpha10/alpha9,-7.479,True
4,CCCCCCCCC1O[C@H](C2OC(=O)C(O)=C2O)CO1,False,0,0,2to3,23,ECD alpha9/alpha10,-6.756,True
4,CCCCCCCCC1O[C@H](C2OC(=O)C(O)=C2O)CO1,False,0,0,2to3,5,ECD alpha9/alpha10,-8.643,True
4,CCCCCCCCC1O[C@H](C2OC(=O)C(O)=C2O)CO1,False,0,0,2to3,21,ECD alpha9/alpha10,-7.672,True
4,CCCCCCCCC1O[C@H](C2OC(=O)C(O)=C2O)CO1,False,0,0,2to3,34,TMD M2 pore,-9.946,True
4,CCCCCCCCC1O[C@H](C2OC(=O)C(O)=C2O)CO1,False,0,0,2to3,35,TMD M2,-9.964,True
4,CCCCCCCCC1O[C@H](C2OC(=O)C(O)=C2O)CO1,False,0,0,2to3,18,ECD alpha10/alpha10,-7.329,True
4,CCCCCCCCC1O[C@H](C2OC(=O)C(O)=C2O)CO1,False,0,0,2to3,25,ECD alpha9/alpha10,-7.527,True
4,CCCCCCCCC1O[C@H](C2OC(=O)C(O)=C2O)CO1,False,0,0,2to3,11,ECD alpha10/alpha9,-8.916,True
5,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OC)CO1)C,False,0,0,2to3,23,ECD alpha9/alpha10,-5.293,True
5,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OC)CO1)C,False,0,0,2to3,5,ECD alpha9/alpha10,-7.571,True
5,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OC)CO1)C,False,0,0,2to3,21,ECD alpha9/alpha10,-6.939,True
5,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OC)CO1)C,False,0,0,2to3,34,TMD M2 pore,-9.096,True
5,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OC)CO1)C,False,0,0,2to3,35,TMD M2,-9.055,True
5,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OC)CO1)C,False,0,0,2to3,18,ECD alpha10/alpha10,-6.621,True
5,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OC)CO1)C,False,0,0,2to3,25,ECD alpha9/alpha10,-7.164,True
5,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OC)CO1)C,False,0,0,2to3,11,ECD alpha10/alpha9,-7.395,True
6,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OCC2C=CC=CC=2)CO1)C,False,0,0,2to3,23,ECD alpha9/alpha10,-6.303,True
6,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OCC2C=CC=CC=2)CO1)C,False,0,0,2to3,5,ECD alpha9/alpha10,-8.446,True
6,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OCC2C=CC=CC=2)CO1)C,False,0,0,2to3,21,ECD alpha9/alpha10,-8.976,True
6,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OCC2C=CC=CC=2)CO1)C,False,0,0,2to3,34,TMD M2 pore,-12.276,True
6,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OCC2C=CC=CC=2)CO1)C,False,0,0,2to3,35,TMD M2,-11.154,True
6,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OCC2C=CC=CC=2)CO1)C,False,0,0,2to3,18,ECD alpha10/alpha10,-7.77,True
6,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OCC2C=CC=CC=2)CO1)C,False,0,0,2to3,25,ECD alpha9/alpha10,-8.267,True
