compound_id,smiles,is_active,molecular_weight,logP,hbd,hba,n_rotatable_bonds,n_rings,tpsa,qed_approx,fp_density
1,C1([C@@H]([C@H](O)CO)OC(=O)C=1O)O,True,170.07599999999996,-4.7,6,0,0,1,120.0,0.7401519999999999,0.03369140625
10,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OCC2CC2)CO1)C,False,254.15299999999993,-3.3,6,0,0,3,120.0,0.9083059999999998,0.04638671875
11,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OCCC2CCCCC2)CO1)C,False,302.197,-2.5,6,0,0,3,120.0,0.995606,0.0478515625
12,C(#C)COC1[C@@H]([C@@H]2OC(C)(C)OC2)OC(=O)C=1O,True,242.14199999999994,-3.5,6,0,0,2,120.0,0.8842839999999998,0.04736328125
13,CC1(O[C@H]([C@H]2OC(=O)C(OC)=C2OC)CO1)C,False,230.13099999999994,-3.7,6,0,0,2,120.0,0.8602619999999999,0.0419921875
14,CC1(O[C@H]([C@H]2OC(=O)C(OCC3C=CC=CC=3)=C2OCC2C=CC=CC=2)CO1)C,False,374.26300000000015,-1.3,6,0,0,4,120.0,0.8514739999999997,0.05517578125
15,C=CCOC1C(C2OC(C)(C)OC2)OC(=O)C=1OCC=C,False,276.159,-2.9,6,0,0,2,120.0,0.952318,0.04052734375
16,CCCOC1[C@H]([C@H]2OC(C)(C)OC2)OC(=O)C=1OCCC,False,278.17499999999995,-2.9,6,0,0,2,120.0,0.9563499999999999,0.044921875
17,CC1(O[C@H]([C@H]2OC(=O)C(OCC#N)=C2OCC#N)CO1)C,False,282.167,-4.7,8,2,0,2,172.0,0.9643339999999999,0.04638671875
18,C1C=CC(COC2[C@@H]([C@H](O)CO)OC(=O)C=2O)=CC=1,True,254.15299999999993,-3.3,6,0,0,2,120.0,0.9083059999999998,0.04931640625
19,C=CCOC1[C@@H]([C@H](O)CO)OC(=O)C=1O,False,206.10899999999995,-4.1,6,0,0,1,120.0,0.8122179999999999,0.03857421875
2,C(O)C(C1OC(=O)C(O)=C1O)O,True,168.05999999999997,-4.7,6,0,0,1,120.0,0.7361199999999999,0.02392578125
20,CCCCOC1[C@@H]([C@H](O)CO)OC(=O)C=1O,False,218.11999999999995,-3.9,6,0,0,1,120.0,0.8362399999999999,0.03759765625
21,C1C(COC2[C@@H]([C@H](O)CO)OC(=O)C=2O)C1,False,218.11999999999995,-3.9,6,0,0,2,120.0,0.8362399999999999,0.04248046875
22,COC1[C@@H]([C@H](O)CO)OC(=O)C=1OC,False,194.09799999999996,-4.3,6,0,0,1,120.0,0.7881959999999999,0.03564453125
23,C(O)[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O,False,172.09199999999998,-4.7,6,0,0,1,120.0,0.744184,0.025390625
24,CCCOC1C(=O)O[C@H]([C@H](O)CO)C=1O,True,206.10899999999998,-4.1,6,0,0,1,120.0,0.812218,0.03515625
25,C(Br)[C@H]([C@H]1OC(=O)C(O)=C1O)O,True,233.98099999999994,-3.2,5,0,0,1,100.0,0.8679619999999999,0.037109375
26,C(O)[C@H]([C@H]1OC(=O)[C@@H](O)[C@H]1O)O,False,172.09199999999998,-4.7,6,0,0,1,120.0,0.744184,0.029296875
27,CC1(O[C@H]([C@@H]2OC(=O)[C@@H]3OC(O[C@H]23)(C)C)CO1)C,False,244.15799999999996,-3.5,6,0,0,3,120.0,0.8883159999999999,0.046875
28,C(O)[C@H]1OC(=O)[C@H](O)[C@@H]1O,False,143.07399999999998,-3.9,5,0,0,1,100.0,0.686148,0.025390625
29,C([C@@H](O)C1OC(=O)[C@@H](O)[C@H]1O)=O,False,171.08399999999997,-4.7,6,0,0,1,120.0,0.7421679999999999,0.03271484375
3,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2O)CO1)C,True,206.10899999999995,-4.1,6,0,0,2,120.0,0.8122179999999999,0.04052734375
30,C(O)[C@@H](O)[C@H]1OC2O[C@@H](O[C@@H]2[C@H]1O)C(Cl)(Cl)Cl,False,303.481,-2.8,6,0,0,2,120.0,0.993038,0.04150390625
4,CCCCCCCCC1O[C@H](C2OC(=O)C(O)=C2O)CO1,False,277.167,-2.9,6,0,0,2,120.0,0.9543339999999999,0.03857421875
5,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OC)CO1)C,False,218.11999999999995,-3.9,6,0,0,2,120.0,0.8362399999999999,0.04150390625
6,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OCC2C=CC=CC=2)CO1)C,False,290.186,-2.7,6,0,0,3,120.0,0.9803719999999999,0.05029296875
7,C=CCOC1C([C@@H]2OC(C)(C)OC2)OC(=O)C=1O,False,241.13399999999996,-3.5,6,0,0,2,120.0,0.8822679999999999,0.04541015625
8,CCCOC1C(C2OC(C)(C)OC2)OC(=O)C=1O,False,240.12599999999995,-3.5,6,0,0,2,120.0,0.8802519999999999,0.03564453125
9,CCCCOC1[C@@H]([C@@H]2OC(C)(C)OC2)OC(=O)C=1O,False,254.15299999999993,-3.3,6,0,0,2,120.0,0.9083059999999998,0.044921875
