feature,mean_importance,std_importance,cv,mean_rank,fraction_in_top5,ci_95_lower,ci_95_upper,median_importance
mw,23.504506615065637,60.2529098441679,2.5634620130910433,1.35,0.93,0.00968119642653519,213.91022504298704,1.3526204803867559
logp,21.119616261079635,49.868784144643406,2.36125427319171,0.71,0.96,0.01603161054546689,178.35487323522824,2.5281847801687514
hbd,1.2661389812811736,4.093986702347957,3.2334417965754096,4.12,0.67,-4.9598393711474875e-05,10.687565755273969,0.26172863816893294
hba,0.9918305659529338,3.724191814854406,3.754866952780656,7.2,0.22,-6.029366200742749e-06,8.380322361332324,0.00531664817576827
tpsa,0.8933731069040128,2.453773464414238,2.746639053102681,4.4,0.64,2.215868517676925e-05,7.4496916490295035,0.20832462870593282
confidence_score,0.2663195261115688,0.3728655503908446,1.40006839090965,4.72,0.45,0.0003437186564885313,1.2898963721422263,0.11362436812662044
docking_score,0.2186751547498928,0.2497169293717313,1.1419538248748111,4.77,0.49,2.8313968441070655e-05,0.9344344939750112,0.1433829744335165
iptm,0.11549028567124128,0.24942008063887927,2.159662859860675,6.29,0.22,-9.795991488041194e-05,0.722348990844345,0.031155288641303742
n_rings,0.05858027346685676,0.11077345549462315,1.8909685622634722,6.97,0.19,-0.000314487810568091,0.31443416006091013,0.019047384803972018
boltz2_affinity,0.042225826561930274,0.07687383406413577,1.8205406577746723,7.03,0.15,-0.00067780721975126,0.1902794939906137,0.017388989279361118
boltz2_probability,0.02867995462305092,0.03641450350356318,1.269684836749908,7.44,0.08,-0.00013865748202396958,0.11478305648000418,0.012580995455708795
