rank,identifier,smiles,activity_uM,potentiation_pct,activity_class
1,12,C(#C)COC1[C@@H]([C@@H]2OC(C)(C)OC2)OC(=O)C=1O,0.1981,150,highly_potent
2,25,C(Br)[C@H]([C@H]1OC(=O)C(O)=C1O)O,2.63,180,potent
3,24,CCCOC1C(=O)O[C@H]([C@H](O)CO)C=1O,1202,190,moderate
4,18,C1C=CC(COC2[C@@H]([C@H](O)CO)OC(=O)C=2O)=CC=1,1288,500,moderate
5,2,C(O)C(C1OC(=O)C(O)=C1O)O,1316,300,moderate
6,1,C1([C@@H]([C@H](O)CO)OC(=O)C=1O)O,1797,286,moderate
7,3,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2O)CO1)C,6077,293,weak
8,4,CCCCCCCCC1O[C@H](C2OC(=O)C(O)=C2O)CO1,0,0,inactive
9,5,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OC)CO1)C,0,0,inactive
10,6,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OCC2C=CC=CC=2)CO1)C,0,0,inactive
