final_rank,cluster_id,n_models,interface_type,site23_score,recurrence_score,composite_score,classification
1,25,8,multi-subunit,1.0,0.2222222222222222,0.8055555555555556,HIGH_CANDIDATE
2,15,36,multi-subunit,0.0,1.0,0.65,MEDIUM_CANDIDATE
3,42,10,multi-subunit,0.0,0.2777777777777778,0.46944444444444444,MEDIUM_CANDIDATE
4,43,10,multi-subunit,0.0,0.2777777777777778,0.46944444444444444,MEDIUM_CANDIDATE
5,29,9,multi-subunit,0.0,0.25,0.4625,MEDIUM_CANDIDATE
6,11,10,multi-subunit,0.0,0.2777777777777778,0.4394444444444444,MEDIUM_CANDIDATE
7,8,10,alpha9(+)/alpha10(-),0.0,0.2777777777777778,0.36944444444444446,LOW_CANDIDATE
8,28,8,alpha9(+)/alpha10(-),0.0,0.2222222222222222,0.3555555555555555,LOW_CANDIDATE
9,0,10,alpha9(+)/alpha10(-),0.0,0.2777777777777778,0.33944444444444444,LOW_CANDIDATE
10,2,9,multi-subunit,0.0,0.25,0.3025,LOW_CANDIDATE
