molecule_id,smiles,pharmacophore_fit,mw,logp,hbd,hba,design_score
MOL_0011,O=C1O[C@H]([C@@H](O)CO)C(OC2CCNCC2)=C1O,1.0,259.26,-1.2,4,7,0.824
MOL_0005,NOC1=C(O)C(=O)O[C@@H]1[C@@H](O)CO,1.0,191.14,-2.08,4,7,0.799
MOL_0012,O=C1O[C@H]([C@@H](O)CO)C(OC2COCCN2)=C1O,1.0,261.23,-2.0,4,8,0.776
MOL_0009,O=C1O[C@H]([C@@H](O)CO)C(Oc2ccccc2)=C1O,0.667,252.22,0.11,3,6,0.726
MOL_0003,CCCOC1=C(O)C(=O)O[C@@H]1[C@@H](O)CO,0.667,218.2,-0.54,3,6,0.714
MOL_0010,O=C1O[C@H]([C@@H](O)CO)C(Oc2ccncc2)=C1O,0.667,253.21,-0.49,3,7,0.703
MOL_0007,O=C1O[C@H]([C@@H](O)CO)C(OCl)=C1O,0.667,210.57,-0.8,3,6,0.701
MOL_0002,CCOC1=C(O)C(=O)O[C@@H]1[C@@H](O)CO,0.667,204.18,-0.93,3,6,0.696
MOL_0008,O=C1O[C@H]([C@@H](O)CO)C(OBr)=C1O,0.667,255.02,-0.64,3,6,0.693
MOL_0006,O=C1O[C@H]([C@@H](O)CO)C(OF)=C1O,0.667,194.11,-1.06,3,6,0.692
MOL_0000,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,0.667,176.12,-1.41,4,6,0.678
MOL_0001,COC1=C(O)C(=O)O[C@@H]1[C@@H](O)CO,0.667,190.15,-1.32,3,6,0.678
MOL_0004,O=C1O[C@H]([C@@H](O)CO)C(OO)=C1O,0.667,192.12,-1.48,4,7,0.668
