receptor,site_id,copy,ligand,smiles,center_x,center_y,center_z,box_size,success,binding_energy,output
a9a10_2to3_apo_reference,23,1,ascorbate,OC[C@H](O)[C@H]1OC(=O)C(O)=C1O,-11.65,38.0,22.41,15.98,True,-4.82,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site23_copy1_ascorbate_docked.pdb
a9a10_2to3_apo_reference,23,2,ascorbate,OC[C@H](O)[C@H]1OC(=O)C(O)=C1O,-28.71,-9.88,33.2,15,True,-2.892,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site23_copy2_ascorbate_docked.pdb
a9a10_2to3_apo_reference,5,1,ascorbate,OC[C@H](O)[C@H]1OC(=O)C(O)=C1O,-7.28,38.04,44.94,17.34,True,-4.831,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site5_copy1_ascorbate_docked.pdb
a9a10_2to3_apo_reference,5,2,ascorbate,OC[C@H](O)[C@H]1OC(=O)C(O)=C1O,-51.89,-12.06,27.91,16.32,True,-5.283,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site5_copy2_ascorbate_docked.pdb
a9a10_2to3_apo_reference,34,1,ascorbate,OC[C@H](O)[C@H]1OC(=O)C(O)=C1O,15.14,-8.22,-12.15,15,True,-6.588,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site34_copy1_ascorbate_docked.pdb
a9a10_2to3_apo_reference,21,1,ascorbate,OC[C@H](O)[C@H]1OC(=O)C(O)=C1O,-19.98,43.78,33.68,19.119999999999997,True,-6.298,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site21_copy1_ascorbate_docked.pdb
a9a10_2to3_apo_reference,21,2,ascorbate,OC[C@H](O)[C@H]1OC(=O)C(O)=C1O,-43.71,-3.13,39.19,15,True,-6.388,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site21_copy2_ascorbate_docked.pdb
a9a10_2to3_apo_reference,7,1,ascorbate,OC[C@H](O)[C@H]1OC(=O)C(O)=C1O,-56.07,17.94,-1.72,15,True,-4.389,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site7_copy1_ascorbate_docked.pdb
a9a10_2to3_apo_reference,7,2,ascorbate,OC[C@H](O)[C@H]1OC(=O)C(O)=C1O,-30.51,50.2,9.34,17.2,True,-4.985,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site7_copy2_ascorbate_docked.pdb
a9a10_2to3_apo_reference,7,3,ascorbate,OC[C@H](O)[C@H]1OC(=O)C(O)=C1O,-24.94,-0.85,54.52,15,True,-5.229,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site7_copy3_ascorbate_docked.pdb
a9a10_2to3_apo_reference,35,1,ascorbate,OC[C@H](O)[C@H]1OC(=O)C(O)=C1O,5.79,-3.2,-4.59,15.26,True,-4.181,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site35_copy1_ascorbate_docked.pdb
