site_id,af3_support,boltz2_support,docking_support,sar_support,mmp_support,stereochemistry_support,overall,composite_score,evidence_score
1,WEAK,WEAK,MODERATE,MODERATE,MODERATE,WEAK (F2 failed),LOW_CONFIDENCE,0.189,0.3882
2,WEAK,WEAK,MODERATE,MODERATE,MODERATE,WEAK (F2 failed),LOW_CONFIDENCE,0.2111,0.3565
3,WEAK,WEAK,MODERATE,MODERATE,MODERATE,WEAK (F2 failed),LOW_CONFIDENCE,0.2673,0.3055
4,WEAK,WEAK,MODERATE,MODERATE,MODERATE,WEAK (F2 failed),LOW_CONFIDENCE,0.1355,0.3725
5,WEAK,WEAK,MODERATE,MODERATE,MODERATE,WEAK (F2 failed),INTERMEDIATE,0.4355,0.5107
6,WEAK,WEAK,MODERATE,MODERATE,MODERATE,WEAK (F2 failed),LOW_CONFIDENCE,0.1997,0.3685
7,WEAK,WEAK,MODERATE,MODERATE,MODERATE,WEAK (F2 failed),LOW_CONFIDENCE,0.371,0.4757
8,WEAK,WEAK,MODERATE,MODERATE,MODERATE,WEAK (F2 failed),LOW_CONFIDENCE,0.2593,0.3107
9,WEAK,WEAK,MODERATE,MODERATE,MODERATE,WEAK (F2 failed),LOW_CONFIDENCE,0.2651,0.3313
10,WEAK,WEAK,MODERATE,MODERATE,MODERATE,WEAK (F2 failed),LOW_CONFIDENCE,0.2662,0.3711
11,WEAK,WEAK,MODERATE,MODERATE,MODERATE,WEAK (F2 failed),LOW_CONFIDENCE,0.1162,0.3208
12,WEAK,WEAK,MODERATE,MODERATE,MODERATE,WEAK (F2 failed),LOW_CONFIDENCE,0.1282,0.3208
13,WEAK,WEAK,MODERATE,MODERATE,MODERATE,WEAK (F2 failed),LOW_CONFIDENCE,0.2895,0.4603
14,WEAK,WEAK,MODERATE,MODERATE,MODERATE,WEAK (F2 failed),LOW_CONFIDENCE,0.2721,0.383
15,WEAK,WEAK,MODERATE,MODERATE,MODERATE,WEAK (F2 failed),LOW_CONFIDENCE,0.2001,0.383
