classification,composite_score,obj_charge_discrimination,obj_convergence,obj_evidence,obj_robustness,obj_selectivity,obj_stereo_discrimination,rank,site_id,weighted_score
LOW_CONFIDENCE,0.3473,1.0,1.0,0.3966,0.7547,0.3524,1.0,1,35,0.6828
LOW_CONFIDENCE,0.3235,0.6923,0.8,0.4135,0.8021,0.3625,1.0,2,18,0.63
LOW_CONFIDENCE,0.2715,1.0,0.0,0.3826,0.875,0.344,1.0,3,27,0.5957
LOW_CONFIDENCE,0.2278,1.0,0.0,0.4395,0.7292,0.3781,1.0,4,20,0.5949
LOW_CONFIDENCE,0.2334,1.0,0.0,0.3602,0.875,0.3305,1.0,5,30,0.5874
LOW_CONFIDENCE,0.2822,1.0,0.0,0.3933,0.7679,0.3504,1.0,6,40,0.5836
LOW_CONFIDENCE,0.3377,1.0,0.0,0.4241,0.675,0.3689,1.0,7,17,0.5811
LOW_CONFIDENCE,0.189,1.0,0.0,0.3882,0.75,0.3473,1.0,8,1,0.579
LOW_CONFIDENCE,0.1995,1.0,0.0,0.3826,0.75,0.344,1.0,9,24,0.5769
LOW_CONFIDENCE,0.2662,1.0,0.0,0.3711,0.75,0.3371,1.0,10,10,0.5727
LOW_CONFIDENCE,0.1997,1.0,0.0,0.3685,0.75,0.3355,1.0,11,6,0.5717
LOW_CONFIDENCE,0.2111,1.0,0.0,0.3565,0.75,0.3283,1.0,12,2,0.5673
LOW_CONFIDENCE,0.275,1.0,0.0,0.3023,0.8438,0.2958,1.0,13,31,0.5613
LOW_CONFIDENCE,0.2895,1.0,0.0,0.4603,0.7068,0.3906,0.7333,14,13,0.5592
LOW_CONFIDENCE,0.1222,1.0,0.0,0.3334,0.75,0.3144,1.0,15,28,0.5587
LOW_CONFIDENCE,0.2715,1.0,0.0,0.3323,0.75,0.3138,1.0,16,37,0.5583
LOW_CONFIDENCE,0.2651,1.0,0.0,0.3313,0.75,0.3132,1.0,17,9,0.558
LOW_CONFIDENCE,0.1355,1.0,0.0,0.3725,0.625,0.3379,1.0,18,4,0.5545
LOW_CONFIDENCE,0.1162,1.0,0.0,0.3208,0.75,0.3069,1.0,19,11,0.5541
LOW_CONFIDENCE,0.1282,1.0,0.0,0.3208,0.75,0.3069,1.0,20,12,0.5541
LOW_CONFIDENCE,0.1722,1.0,0.0,0.3622,0.625,0.3317,1.0,21,43,0.5506
LOW_CONFIDENCE,0.1611,1.0,0.0,0.3498,0.625,0.3243,1.0,22,36,0.5461
REJECTED,0.2731,1.0,0.0,0.2561,0.75,0.2681,1.0,23,32,0.5301
REJECTED,0.2731,1.0,0.0,0.2561,0.75,0.2681,1.0,24,33,0.5301
REJECTED,0.2431,1.0,0.0,0.2561,0.75,0.2681,1.0,25,45,0.5301
REJECTED,0.1261,1.0,0.0,0.2919,0.625,0.2895,1.0,26,29,0.5246
REJECTED,0.1411,1.0,0.0,0.2819,0.625,0.2835,1.0,27,44,0.5209
REJECTED,0.1261,1.0,0.0,0.2793,0.625,0.282,1.0,28,41,0.52
REJECTED,0.1261,1.0,0.0,0.2668,0.625,0.2745,1.0,29,46,0.5153
LOW_CONFIDENCE,0.2972,1.0,0.6154,0.4375,0.6995,0.3769,0.0769,30,22,0.5128
REJECTED,0.1261,1.0,0.0,0.2542,0.625,0.2669,1.0,31,42,0.5107
LOW_CONFIDENCE,0.2001,1.0,0.0,0.383,0.625,0.3442,0.6667,32,15,0.5083
INTERMEDIATE,0.5066,0.7143,0.4167,0.6272,0.5263,0.4907,0.1667,33,23,0.5077
INTERMEDIATE,0.3838,0.4286,0.6,0.535,0.7189,0.4354,0.3125,34,21,0.4998
LOW_CONFIDENCE,0.3047,0.3333,0.0,0.3947,0.8438,0.3512,1.0,35,38,0.4955
LOW_CONFIDENCE,0.1085,1.0,0.0,0.3285,0.6667,0.3115,0.5,36,39,0.4694
LOW_CONFIDENCE,0.3307,0.5385,0.7333,0.4513,0.7176,0.3852,0.0,37,25,0.4516
LOW_CONFIDENCE,0.4173,0.3333,0.7143,0.4767,0.7063,0.4004,0.1429,38,34,0.4481
LOW_CONFIDENCE,0.371,1.0,0.0,0.4757,0.6012,0.3998,0.0,39,7,0.4391
INTERMEDIATE,0.4355,1.0,0.0,0.5107,0.5038,0.4208,0.0,40,5,0.4374
LOW_CONFIDENCE,0.2721,1.0,0.0,0.383,0.625,0.3442,0.1538,41,14,0.4314
LOW_CONFIDENCE,0.2563,1.0,0.0,0.3708,0.6944,0.3369,0.0,42,16,0.4142
LOW_CONFIDENCE,0.3174,0.6667,0.0,0.41,0.7815,0.3604,0.1,43,26,0.4068
LOW_CONFIDENCE,0.2593,0.5714,0.0,0.3107,0.6925,0.3008,0.3333,44,8,0.3774
LOW_CONFIDENCE,0.2673,0.5385,0.0,0.3055,0.6917,0.2977,0.1,45,3,0.3354
LOW_CONFIDENCE,0.3421,0.3077,0.0,0.4292,0.4821,0.3719,0.2143,46,19,0.3323
