n_ligands,preserves_specificity,preserves_stereo,ranking,site_id,top_affinity,top_ligand
1,True,True,RYANODINE=7.148,1,7.1484,RYANODINE
1,True,True,L-ASC=2.817,2,2.8174,L-ASC
4,False,False,D-ASC=1.866;ACETATE=1.862;L-ASC=0.470;O-ETHYL=0.369,3,1.8658,D-ASC
1,True,True,O-ETHYL=2.156,4,2.1562,O-ETHYL
3,True,True,L-ASC=1.950;D-ASC=1.466;O-ETHYL=0.096,5,1.9495,L-ASC
2,True,True,L-ASC=1.391;O-ETHYL=1.107,6,1.3908,L-ASC
3,True,True,L-ASC=1.994;D-ASC=1.073;O-ETHYL=0.208,7,1.9945,L-ASC
4,False,False,D-ASC=1.600;O-ETHYL=0.945;ACETATE=0.803;L-ASC=0.398,8,1.5996,D-ASC
1,True,True,L-ASC=2.781,9,2.7808,L-ASC
1,True,True,O-ETHYL=2.214,10,2.2138,O-ETHYL
1,True,True,O-ETHYL=2.185,11,2.185,O-ETHYL
1,True,True,O-ETHYL=2.127,12,2.1275,O-ETHYL
3,True,False,O-ETHYL=1.795;D-ASC=0.512;L-ASC=0.256,13,1.7946,O-ETHYL
2,True,False,D-ASC=2.744;L-ASC=1.373,14,2.7443,D-ASC
2,True,False,D-ASC=2.817;L-ASC=1.409,15,2.8174,D-ASC
3,True,False,D-ASC=1.805;L-ASC=0.904;O-ETHYL=0.719,16,1.8049,D-ASC
1,True,True,ACETATE=5.594,17,5.5942,ACETATE
3,False,True,ACETATE=4.131;O-ETHYL=0.366;L-ASC=0.232,18,4.1309,ACETATE
4,False,False,ACETATE=1.369;D-ASC=0.927;O-ETHYL=0.714;L-ASC=0.693,19,1.3695,ACETATE
1,True,True,O-ETHYL=2.222,20,2.2224,O-ETHYL
4,False,False,ACETATE=2.567;D-ASC=1.203;O-ETHYL=0.474;L-ASC=0.301,21,2.5671,ACETATE
3,True,False,D-ASC=1.832;O-ETHYL=1.206;L-ASC=0.313,22,1.8317,D-ASC
5,True,True,L-ASC=1.005;O-ETHYL=0.898;D-ASC=0.891;ACETATE=0.224;RYANODINE=0.102,23,1.0053,L-ASC
1,True,True,O-ETHYL=2.199,24,2.1994,O-ETHYL
4,True,True,L-ASC=1.232;D-ASC=1.059;O-ETHYL=0.636;ACETATE=0.358,25,1.2324,L-ASC
4,False,False,O-ETHYL=1.420;D-ASC=0.560;ACETATE=0.545;L-ASC=0.421,26,1.4204,O-ETHYL
1,True,True,O-ETHYL=2.214,27,2.2138,O-ETHYL
1,True,True,O-ETHYL=2.185,28,2.185,O-ETHYL
1,True,True,ACETATE=5.306,29,5.3058,ACETATE
2,True,True,L-ASC=1.336;O-ETHYL=1.107,30,1.3359,L-ASC
2,True,True,ACETATE=1.737;O-ETHYL=1.476,31,1.7374,ACETATE
1,True,True,ACETATE=5.551,32,5.5509,ACETATE
1,True,True,ACETATE=5.551,33,5.5509,ACETATE
5,False,False,RYANODINE=4.532;O-ETHYL=0.637;D-ASC=0.206;ACETATE=0.140;L-ASC=0.139,34,4.5325,RYANODINE
3,True,True,O-ETHYL=1.578;ACETATE=1.326;D-ASC=0.189,35,1.5782,O-ETHYL
1,True,True,ACETATE=5.335,36,5.3347,ACETATE
1,True,True,O-ETHYL=2.185,37,2.185,O-ETHYL
3,False,True,O-ETHYL=1.794;ACETATE=0.664;L-ASC=0.172,38,1.794,O-ETHYL
2,True,False,D-ASC=1.878;L-ASC=1.854,39,1.878,D-ASC
1,True,True,O-ETHYL=2.208,40,2.208,O-ETHYL
1,True,True,ACETATE=5.335,41,5.3347,ACETATE
1,True,True,ACETATE=5.320,42,5.3202,ACETATE
1,True,True,ACETATE=5.263,43,5.2626,ACETATE
1,True,True,ACETATE=5.327,44,5.3275,ACETATE
1,True,True,ACETATE=5.551,45,5.5509,ACETATE
1,True,True,ACETATE=5.270,46,5.2698,ACETATE
