rank,site_id,integrated_score,classification,af3_convergence,boltz2_convergence,docking_consensus,sar_explanation,acetate_discrimination,stereochemical_discrimination,chemical_perturbation,ensemble_robustness,residue_consensus
1,23,0.7302,HIGH_CONFIDENCE,0.144,1.000,1.000,0.902,1.000,0.000,0.666,1.000,1.000
2,5,0.6121,HIGH_CONFIDENCE,0.894,0.000,1.000,1.000,1.000,0.000,0.000,1.000,0.400
3,21,0.6058,HIGH_CONFIDENCE,0.330,0.042,1.000,1.000,0.500,0.000,1.000,1.000,1.000
4,34,0.5374,INTERMEDIATE,0.741,0.042,1.000,1.000,0.000,0.000,0.000,1.000,1.000
5,7,0.5298,INTERMEDIATE,0.252,0.000,1.000,1.000,1.000,0.000,0.000,1.000,0.600
6,25,0.5242,INTERMEDIATE,0.129,0.459,0.880,1.000,0.000,0.000,0.500,0.880,1.000
7,13,0.4935,INTERMEDIATE,0.090,0.000,0.800,1.000,1.000,0.000,0.000,0.800,1.000
8,35,0.4622,INTERMEDIATE,0.264,0.111,1.000,1.000,0.000,0.000,0.000,1.000,0.800
9,17,0.4468,LOW_CONFIDENCE,0.552,0.000,0.720,1.000,0.000,0.000,0.000,0.720,1.000
10,38,0.4430,LOW_CONFIDENCE,0.096,0.111,0.960,1.000,0.000,0.000,0.000,0.960,1.000
11,22,0.4360,LOW_CONFIDENCE,0.072,0.168,0.400,1.000,1.000,0.000,0.000,0.400,1.000
12,18,0.4219,LOW_CONFIDENCE,0.168,0.111,0.800,1.000,0.000,0.000,0.000,0.800,1.000
13,19,0.4140,LOW_CONFIDENCE,0.120,0.000,0.480,1.000,0.000,0.000,1.000,0.480,1.000
14,26,0.4072,LOW_CONFIDENCE,0.120,0.168,0.720,1.000,0.000,0.000,0.000,0.720,1.000
15,40,0.3821,LOW_CONFIDENCE,0.081,0.000,0.320,1.000,1.000,0.000,0.000,0.320,0.800
16,20,0.3770,LOW_CONFIDENCE,0.060,0.000,0.240,1.000,1.000,0.000,0.000,0.240,1.000
17,24,0.3579,LOW_CONFIDENCE,0.039,0.000,0.160,1.000,1.000,0.000,0.000,0.160,1.000
18,27,0.3579,LOW_CONFIDENCE,0.039,0.000,0.160,1.000,1.000,0.000,0.000,0.160,1.000
19,6,0.3560,LOW_CONFIDENCE,0.027,0.000,0.160,1.000,1.000,0.000,0.000,0.160,1.000
20,16,0.3495,LOW_CONFIDENCE,0.006,0.084,0.080,1.000,1.000,0.000,0.000,0.080,1.000
21,30,0.3437,LOW_CONFIDENCE,0.009,0.042,0.080,1.000,1.000,0.000,0.000,0.080,1.000
22,14,0.3432,LOW_CONFIDENCE,0.048,0.000,0.080,1.000,1.000,0.000,0.000,0.080,1.000
23,15,0.3432,LOW_CONFIDENCE,0.048,0.000,0.080,1.000,1.000,0.000,0.000,0.080,1.000
24,4,0.3418,LOW_CONFIDENCE,0.039,0.000,0.080,1.000,1.000,0.000,0.000,0.080,1.000
25,10,0.3392,LOW_CONFIDENCE,0.021,0.000,0.080,1.000,1.000,0.000,0.000,0.080,1.000
26,1,0.3310,LOW_CONFIDENCE,0.060,0.000,0.080,1.000,1.000,0.000,0.000,0.080,0.800
27,2,0.3125,LOW_CONFIDENCE,0.030,0.000,0.080,1.000,1.000,0.000,0.000,0.080,0.600
28,8,0.3104,LOW_CONFIDENCE,0.069,0.000,0.400,1.000,0.000,0.000,0.000,0.400,1.000
29,39,0.3054,LOW_CONFIDENCE,0.063,0.000,0.160,1.000,1.000,0.000,0.000,0.160,0.200
30,37,0.3019,LOW_CONFIDENCE,0.039,0.000,0.160,1.000,1.000,0.000,0.000,0.160,0.200
31,28,0.2972,REJECTED,0.021,0.000,0.080,1.000,1.000,0.000,0.000,0.080,0.400
32,3,0.2953,REJECTED,0.075,0.000,0.320,1.000,0.000,0.000,0.000,0.320,1.000
33,9,0.2845,REJECTED,0.030,0.000,0.080,1.000,1.000,0.000,0.000,0.080,0.200
34,11,0.2832,REJECTED,0.021,0.000,0.080,1.000,1.000,0.000,0.000,0.080,0.200
35,12,0.2832,REJECTED,0.021,0.000,0.080,1.000,1.000,0.000,0.000,0.080,0.200
36,43,0.2700,REJECTED,0.000,0.333,0.000,1.000,0.000,0.000,0.000,0.000,1.000
37,31,0.2678,REJECTED,0.021,0.084,0.160,1.000,0.000,0.000,0.000,0.160,1.000
38,36,0.2452,REJECTED,0.000,0.168,0.000,1.000,0.000,0.000,0.000,0.000,1.000
39,29,0.2312,REJECTED,0.000,0.168,0.000,1.000,0.000,0.000,0.000,0.000,0.800
40,41,0.2172,REJECTED,0.000,0.168,0.000,1.000,0.000,0.000,0.000,0.000,0.600
41,44,0.2032,REJECTED,0.000,0.168,0.000,1.000,0.000,0.000,0.000,0.000,0.400
42,46,0.2032,REJECTED,0.000,0.168,0.000,1.000,0.000,0.000,0.000,0.000,0.400
43,42,0.1892,REJECTED,0.000,0.168,0.000,1.000,0.000,0.000,0.000,0.000,0.200
44,32,0.1890,REJECTED,0.060,0.000,0.080,1.000,0.000,0.000,0.000,0.080,0.200
45,33,0.1890,REJECTED,0.060,0.000,0.080,1.000,0.000,0.000,0.000,0.080,0.200
46,45,0.1890,REJECTED,0.060,0.000,0.080,1.000,0.000,0.000,0.000,0.080,0.200
