affinity_score,confidence,enrichment,ligand,n_boltz2_models,site_id,site_rank,stoichiometry
7.1484,0.74,9.66,RYANODINE,0,1,34,2to3
5.5942,0.776,7.209,ACETATE,0,17,8,3to2
5.3058,0.736,7.209,ACETATE,1,29,40,3to2
5.5509,0.77,7.209,ACETATE,0,32,17,2to3
5.5509,0.77,7.209,ACETATE,0,33,18,2to3
5.3347,0.74,7.209,ACETATE,1,36,36,3to2
5.3347,0.74,7.209,ACETATE,1,41,41,2to3
5.3202,0.738,7.209,ACETATE,1,42,42,2to3
5.2626,0.73,7.209,ACETATE,2,43,35,3to2
5.3275,0.739,7.209,ACETATE,1,44,37,2to3
5.5509,0.77,7.209,ACETATE,0,45,27,3to2
5.2698,0.731,7.209,ACETATE,1,46,43,3to2
4.5325,0.782,5.796,RYANODINE,0,34,3,3to2
4.1309,0.764,5.407,ACETATE,2,18,10,2to3
2.8174,0.77,3.659,L-ASC,0,2,30,3to2
2.7808,0.76,3.659,L-ASC,0,9,24,2to3
2.7443,0.75,3.659,D-ASC,0,14,19,2to3
2.8174,0.77,3.659,D-ASC,0,15,31,2to3
2.5671,0.767,3.347,ACETATE,1,21,4,2to3
2.1562,0.75,2.875,O-ETHYL,0,4,38,2to3
2.2138,0.77,2.875,O-ETHYL,0,10,23,3to2
2.185,0.76,2.875,O-ETHYL,0,11,45,2to3
2.1275,0.74,2.875,O-ETHYL,0,12,39,2to3
2.2224,0.773,2.875,O-ETHYL,0,20,29,3to2
2.1994,0.765,2.875,O-ETHYL,0,24,33,3to2
2.2138,0.77,2.875,O-ETHYL,0,27,20,2to3
2.185,0.76,2.875,O-ETHYL,0,28,44,3to2
2.185,0.76,2.875,O-ETHYL,0,37,21,2to3
2.208,0.768,2.875,O-ETHYL,0,40,15,2to3
1.9945,0.763,2.614,L-ASC,0,7,5,2to3
1.9495,0.766,2.545,L-ASC,0,5,2,3to2
1.8658,0.765,2.439,D-ASC,0,3,22,2to3
1.8049,0.74,2.439,D-ASC,1,16,26,2to3
1.8317,0.751,2.439,D-ASC,1,22,13,3to2
1.8536,0.76,2.439,L-ASC,0,39,46,2to3
1.878,0.77,2.439,D-ASC,0,39,46,3to2
1.8623,0.775,2.403,ACETATE,0,3,22,2to3
1.7374,0.723,2.403,ACETATE,1,31,16,3to2
1.7946,0.763,2.352,O-ETHYL,0,13,14,2to3
1.794,0.768,2.336,O-ETHYL,0,38,12,2to3
1.5996,0.765,2.091,D-ASC,0,8,25,2to3
1.5782,0.758,2.082,O-ETHYL,0,35,6,3to2
1.4761,0.77,1.917,O-ETHYL,0,31,16,2to3
1.4661,0.768,1.909,D-ASC,0,5,2,3to2
1.4204,0.76,1.869,O-ETHYL,3,26,11,2to3
1.3908,0.76,1.83,L-ASC,0,6,32,3to2
1.3725,0.75,1.83,L-ASC,0,14,19,2to3
1.4091,0.77,1.83,L-ASC,0,15,31,2to3
1.3359,0.73,1.83,L-ASC,1,30,28,2to3
1.3695,0.76,1.802,ACETATE,0,19,7,2to3
1.3259,0.762,1.74,ACETATE,2,35,6,3to2
1.2324,0.746,1.652,L-ASC,10,25,9,2to3
1.2057,0.755,1.597,O-ETHYL,2,22,13,3to2
1.2027,0.767,1.568,D-ASC,0,21,4,2to3
1.1073,0.77,1.438,O-ETHYL,0,6,32,3to2
1.1073,0.77,1.438,O-ETHYL,0,30,28,2to3
1.0592,0.748,1.416,D-ASC,4,25,9,2to3
1.0734,0.77,1.394,D-ASC,0,7,5,2to3
1.0053,0.743,1.353,L-ASC,24,23,1,3to2
0.9449,0.767,1.232,O-ETHYL,0,8,25,3to2
0.904,0.741,1.22,L-ASC,1,16,26,2to3
0.9272,0.76,1.22,D-ASC,0,19,7,2to3
0.8914,0.741,1.203,D-ASC,11,23,1,3to2
0.8983,0.76,1.182,O-ETHYL,11,23,1,2to3
0.8034,0.78,1.03,ACETATE,0,8,25,2to3
0.7185,0.75,0.958,O-ETHYL,0,16,26,2to3
0.7137,0.745,0.958,O-ETHYL,0,19,7,2to3
0.6927,0.757,0.915,L-ASC,0,19,7,2to3
0.664,0.737,0.901,ACETATE,2,38,12,2to3
0.6363,0.762,0.835,O-ETHYL,2,25,9,3to2
0.6368,0.77,0.827,O-ETHYL,0,34,3,3to2
0.56,0.765,0.732,D-ASC,0,26,11,2to3
0.5451,0.756,0.721,ACETATE,1,26,11,2to3
0.5121,0.77,0.665,D-ASC,0,13,14,3to2
0.4743,0.77,0.616,O-ETHYL,0,21,4,2to3
0.4697,0.77,0.61,L-ASC,0,3,22,2to3
0.4211,0.767,0.549,L-ASC,0,26,11,2to3
0.3975,0.76,0.523,L-ASC,0,8,25,3to2
