site_id,rank,composite_score,evidence_score,classification,evidence_pocket_consensus,evidence_af3_convergence,evidence_boltz2_convergence,evidence_docking_consensus,evidence_sar_explanation,evidence_boltz2_affinity,evidence_acetate_discrimination,evidence_stereochemical_discrimination,evidence_chemical_perturbation,evidence_electrostatic_analysis,evidence_ensemble_robustness,evidence_residue_consensus,evidence_subtype_comparison
1,34,0.189,0.3882,LOW_CONFIDENCE,0.0,0.06,0.0,0.08,1.0,1.0,1.0,0.0,0.0,0.5,0.08,0.8,0.2
2,30,0.2111,0.3565,LOW_CONFIDENCE,0.0,0.03,0.0,0.08,1.0,0.732,1.0,0.0,0.0,0.5,0.08,0.6,0.2
3,22,0.2673,0.3055,LOW_CONFIDENCE,0.0,0.075,0.0,0.32,1.0,0.488,0.0,0.0,0.0,0.5,0.32,1.0,0.2
4,38,0.1355,0.3725,LOW_CONFIDENCE,0.0,0.039,0.0,0.08,1.0,0.576,1.0,0.0,0.0,0.5,0.08,1.0,0.2
5,2,0.4355,0.5107,INTERMEDIATE,0.0,0.894,0.0,1.0,1.0,0.508,1.0,0.0,0.0,0.5,1.0,0.4,0.2
6,32,0.1997,0.3685,LOW_CONFIDENCE,0.0,0.027,0.0,0.16,1.0,0.366,1.0,0.0,0.0,0.5,0.16,1.0,0.2
7,5,0.371,0.4757,LOW_CONFIDENCE,0.0,0.252,0.0,1.0,1.0,0.522,1.0,0.0,0.0,0.5,1.0,0.6,0.2
8,25,0.2593,0.3107,LOW_CONFIDENCE,0.0,0.069,0.0,0.4,1.0,0.418,0.0,0.0,0.0,0.5,0.4,1.0,0.2
9,24,0.2651,0.3313,LOW_CONFIDENCE,0.0,0.03,0.0,0.08,1.0,0.732,1.0,0.0,0.0,0.5,0.08,0.2,0.2
10,23,0.2662,0.3711,LOW_CONFIDENCE,0.0,0.021,0.0,0.08,1.0,0.576,1.0,0.0,0.0,0.5,0.08,1.0,0.2
11,45,0.1162,0.3208,LOW_CONFIDENCE,0.0,0.021,0.0,0.08,1.0,0.576,1.0,0.0,0.0,0.5,0.08,0.2,0.2
12,39,0.1282,0.3208,LOW_CONFIDENCE,0.0,0.021,0.0,0.08,1.0,0.576,1.0,0.0,0.0,0.5,0.08,0.2,0.2
13,14,0.2895,0.4603,LOW_CONFIDENCE,0.0,0.09,0.0,0.8,1.0,0.47,1.0,0.0,0.0,0.5,0.8,1.0,0.2
14,19,0.2721,0.383,LOW_CONFIDENCE,0.0,0.048,0.0,0.08,1.0,0.732,1.0,0.0,0.0,0.5,0.08,1.0,0.2
15,31,0.2001,0.383,LOW_CONFIDENCE,0.0,0.048,0.0,0.08,1.0,0.732,1.0,0.0,0.0,0.5,0.08,1.0,0.2
16,26,0.2563,0.3708,LOW_CONFIDENCE,0.0,0.006,0.084,0.08,1.0,0.488,1.0,0.0,0.0,0.5,0.08,1.0,0.2
17,8,0.3377,0.4241,LOW_CONFIDENCE,0.0,0.552,0.0,0.72,1.0,1.0,0.0,0.0,0.0,0.5,0.72,1.0,0.2
18,10,0.3235,0.4135,LOW_CONFIDENCE,0.0,0.168,0.111,0.8,1.0,1.0,0.0,0.0,0.0,0.5,0.8,1.0,0.2
19,7,0.3421,0.4292,LOW_CONFIDENCE,0.0,0.12,0.0,0.48,1.0,0.36,0.0,0.0,1.0,0.5,0.48,1.0,0.8
20,29,0.2278,0.4395,LOW_CONFIDENCE,0.0,0.06,0.0,0.24,1.0,0.576,1.0,0.0,0.0,0.5,0.24,1.0,0.8
